RAG_Type,Model_Type,Precision,Recall,F1,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L
HierarchicalRAG,mistral:7b-instruct,0.9274,0.9189,0.9231,0.5533,0.4885,0.5926,0.3038,0.3457
FusionRetrieval,mistral:7b-instruct,0.8914,0.8803,0.8858,0.3986,0.324,0.3889,0.2,0.3056
FusionRetrieval,mistral:7b-instruct,0.8718,0.8806,0.8762,0.2308,0.2605,0.2835,0.064,0.2047
FusionRetrieval,mistral:7b-instruct,0.8373,0.8656,0.8512,0.2121,0.2045,0.2093,0.0476,0.093
FusionRetrieval,mistral:7b-instruct,0.8752,0.9029,0.8888,0.2929,0.4113,0.384,0.1463,0.304
FusionRetrieval,mistral:7b-instruct,0.9595,0.9182,0.9384,0.4273,0.4627,0.5714,0.3529,0.4571
FeedbackLoopRetrieval,mistral:7b-instruct,0,0,0,0,0,0,0,0
FeedbackLoopRetrieval,mistral:7b-instruct,0.8317,0.863,0.8471,0.1495,0.3287,0.2453,0.0667,0.1415
FeedbackLoopRetrieval,mistral:7b-instruct,0.8112,0.8545,0.8323,0.1494,0.2688,0.1538,0.026,0.1154
FeedbackLoopRetrieval,mistral:7b-instruct,0.8409,0.8849,0.8623,0.1437,0.345,0.2514,0.0925,0.1714
FeedbackLoopRetrieval,mistral:7b-instruct,0.8704,0.9117,0.8906,0.2871,0.4071,0.3817,0.1085,0.2595
ExplainableRetrieval,mistral:7b-instruct,0.8776,0.8889,0.8832,0.3864,0.484,0.4151,0.2308,0.3019
ExplainableRetrieval,mistral:7b-instruct,0.844,0.8855,0.8642,0.1838,0.2741,0.2597,0.1184,0.1948
ExplainableRetrieval,mistral:7b-instruct,0.8433,0.8704,0.8566,0.191,0.186,0.1835,0.0187,0.1101
ExplainableRetrieval,mistral:7b-instruct,0.842,0.9024,0.8711,0.1436,0.3399,0.26,0.101,0.17
ExplainableRetrieval,mistral:7b-instruct,0.8783,0.9141,0.8959,0.3204,0.4456,0.3759,0.1221,0.2256
SimpleRAG,gemma2:2b,0.9449,0.8505,0.8952,0.1127,0.2699,0.3774,0.2353,0.3774
SimpleRAG,gemma2:2b,0.965,0.8832,0.9223,0.0602,0.1969,0.3548,0.2333,0.2903
SimpleRAG,gemma2:2b,0.7669,0.7209,0.7432,0,0,0,0,0
SimpleRAG,gemma2:2b,0.9409,0.9128,0.9266,0.3972,0.3493,0.5075,0.2154,0.3284
SimpleRAG,gemma2:2b,0.9398,0.8788,0.9082,0.0896,0.1945,0.3273,0.0755,0.2545
AdaptiveRetrieval,gemma2:2b,0.932,0.8713,0.9006,0.2115,0.3165,0.386,0.2182,0.386
AdaptiveRetrieval,gemma2:2b,0.965,0.8832,0.9223,0.0602,0.1969,0.3548,0.2333,0.2903
AdaptiveRetrieval,gemma2:2b,0.9443,0.8861,0.9143,0.1807,0.2457,0.36,0.0833,0.32
AdaptiveRetrieval,gemma2:2b,0.9661,0.9112,0.9379,0.3441,0.4407,0.5574,0.2712,0.3934
AdaptiveRetrieval,gemma2:2b,0.9515,0.8893,0.9194,0.2035,0.3494,0.4667,0.2759,0.4
SemanticRAG,gemma2:2b,0.932,0.8713,0.9006,0.2115,0.3165,0.386,0.2182,0.386
SemanticRAG,gemma2:2b,0.965,0.8832,0.9223,0.0602,0.1969,0.3548,0.2333,0.2903
SemanticRAG,gemma2:2b,0.842,0.8483,0.8451,0.0896,0.1149,0.1795,0.0526,0.1538
SemanticRAG,gemma2:2b,0.9385,0.9159,0.9271,0.4296,0.3821,0.5217,0.2388,0.3478
SemanticRAG,gemma2:2b,0.9447,0.8849,0.9138,0.1544,0.2857,0.4138,0.1786,0.3448
SelfRAG,gemma2:2b,0.944,0.8361,0.8868,0.0929,0.2189,0.3774,0.2353,0.3774
SelfRAG,gemma2:2b,0.965,0.8832,0.9223,0.0602,0.1969,0.3548,0.2333,0.2903
SelfRAG,gemma2:2b,0.8391,0.863,0.8509,0.1235,0.234,0.3256,0.0476,0.2326
SelfRAG,gemma2:2b,0.9479,0.9014,0.9241,0.2897,0.3636,0.4407,0.2456,0.339
SelfRAG,gemma2:2b,0.9453,0.8849,0.9141,0.2035,0.3102,0.4667,0.1379,0.3
QueryTransformRetrieval,gemma2:2b,0.8514,0.8654,0.8583,0.1908,0.3088,0.2621,0.0839,0.1655
QueryTransformRetrieval,gemma2:2b,0.8479,0.9045,0.8753,0.2121,0.5043,0.3407,0.1444,0.2857
QueryTransformRetrieval,gemma2:2b,0.754,0.868,0.807,0.067,0.2935,0.1445,0.0581,0.1214
QueryTransformRetrieval,gemma2:2b,0.7638,0.886,0.8204,0.0841,0.3161,0.2018,0.0716,0.1365
QueryTransformRetrieval,gemma2:2b,0.7875,0.8899,0.8356,0.1133,0.4233,0.2089,0.0955,0.1392
HierarchicalRAG,gemma2:2b,0.932,0.8713,0.9006,0.2115,0.3165,0.386,0.2182,0.386
HierarchicalRAG,gemma2:2b,0.965,0.8832,0.9223,0.0602,0.1969,0.3548,0.2333,0.2903
HierarchicalRAG,gemma2:2b,0.844,0.8505,0.8473,0.1077,0.1379,0.2105,0.0541,0.1579
HierarchicalRAG,gemma2:2b,0.9222,0.8826,0.902,0.2007,0.3057,0.3103,0.1429,0.3103
HierarchicalRAG,gemma2:2b,0.9447,0.8849,0.9138,0.1544,0.2857,0.4138,0.1786,0.3448
FusionRetrieval,gemma2:2b,0.9137,0.8804,0.8968,0.3804,0.3934,0.5,0.2581,0.4375
FusionRetrieval,gemma2:2b,0.9494,0.8844,0.9157,0.0692,0.1849,0.3077,0.0635,0.2154
FusionRetrieval,gemma2:2b,0.8247,0.8483,0.8363,0.1048,0.1538,0.1849,0.0171,0.1345
FusionRetrieval,gemma2:2b,0.8711,0.903,0.8867,0.2676,0.3881,0.4719,0.1839,0.427
FusionRetrieval,gemma2:2b,0.9472,0.8831,0.914,0.1897,0.3127,0.4746,0.2456,0.3729
FeedbackLoopRetrieval,gemma2:2b,0.8809,0.8523,0.8663,0.1344,0.1573,0.1818,0.0755,0.1091
